sla_incumplido;Tiempo_Resolucion_horas;Impacto;Prioridad;Nivel_1_Categorizacion;Nivel_2_Categorizacion;Nivel_3_Categorizacion;Servicio;Tipo_Incidencia;Fuente_Reportada;Tipo_Solucion;Categoria_Resolucion;Total_Transferencias;Indisponibilidad_Minutos;Reapertura;Incidente_Mayor;anio;mes;dia_semana;hora_creacion;es_fin_de_semana;prob_incumplir_SLA_temprano
1;93,391111;2-Significativo/Amplio;Alta;Conectividad;Networking;Servicio caído;Conectividad Nacional;Infrastructure Event;Monitoreo Proactivo;Remoto;Conectividad - Acceso;1,000000;181,000000;No;No;2025;10;3;15;0;0,432437
1;93,391111;2-Significativo/Amplio;Alta;Conectividad;Networking;Servicio caído;Conectividad Nacional;Infrastructure Event;Monitoreo Proactivo;Remoto;Conectividad - Acceso;1,000000;181,000000;No;No;2025;10;3;15;0;0,432437
1;93,391111;2-Significativo/Amplio;Alta;Conectividad;Networking;Servicio caído;Conectividad Nacional;Infrastructure Event;Monitoreo Proactivo;Remoto;Conectividad - Acceso;1,000000;181,000000;No;No;2025;10;3;15;0;0,432437
1;93,374444;2-Significativo/Amplio;Alta;Conectividad;Networking;Servicio caído;Conectividad Nacional;Infrastructure Event;Monitoreo Proactivo;Remoto;Conectividad - Acceso;1,000000;181,000000;No;No;2025;10;3;15;0;0,432437
1;93,374444;2-Significativo/Amplio;Alta;Conectividad;Networking;Servicio caído;Conectividad Nacional;Infrastructure Event;Monitoreo Proactivo;Remoto;Conectividad - Acceso;1,000000;;No;No;2025;10;3;15;0;0,432437
1;93,356389;2-Significativo/Amplio;Alta;Conectividad;Networking;Servicio caído;Conectividad Nacional;Infrastructure Event;Monitoreo Proactivo;Remoto;Conectividad - Acceso;1,000000;181,000000;No;No;2025;10;3;15;0;0,432437
1;93,356389;2-Significativo/Amplio;Alta;Conectividad;Networking;Servicio caído;Conectividad Nacional;Infrastructure Event;Monitoreo Proactivo;Remoto;Conectividad - Acceso;1,000000;181,000000;No;No;2025;10;3;15;0;0,432437
1;93,355833;2-Significativo/Amplio;Alta;Conectividad;Networking;Servicio caído;Conectividad Nacional;Infrastructure Event;Monitoreo Proactivo;Remoto;Conectividad - Acceso;1,000000;181,000000;No;No;2025;10;3;15;0;0,432437
1;93,355833;2-Significativo/Amplio;Alta;Conectividad;Networking;Servicio caído;Conectividad Nacional;Infrastructure Event;Monitoreo Proactivo;Remoto;Conectividad - Acceso;1,000000;181,000000;No;No;2025;10;3;15;0;0,432437
1;93,355278;2-Significativo/Amplio;Alta;Conectividad;Networking;Servicio caído;Conectividad Nacional;Infrastructure Event;Monitoreo Proactivo;Remoto;Conectividad - Acceso;1,000000;181,000000;No;No;2025;10;3;15;0;0,432437
1;93,354722;2-Significativo/Amplio;Alta;Conectividad;Networking;Servicio caído;Conectividad Nacional;Infrastructure Event;Monitoreo Proactivo;Remoto;Conectividad - Acceso;1,000000;181,000000;No;No;2025;10;3;15;0;0,432437
0;41,259167;4-Menor/Localizado;Baja;Conectividad;Networking;Apertura Simple;Conectividad Nacional;Restauración de servicio a usuario;Monitoreo Proactivo;Remoto;Conectividad - Acceso;0,000000;65,000000;No;No;2025;10;3;15;0;0,261169
1;92,303889;2-Significativo/Amplio;Baja;Conectividad;Networking;Servicio caído;Conectividad Nacional;Infrastructure Event;Monitoreo Proactivo;Remoto;Conectividad - Acceso;1,000000;181,000000;No;No;2025;10;3;16;0;0,651935
0;47,292500;2-Significativo/Amplio;Alta;Conectividad;Networking;Servicio caído;Conectividad Nacional;Infrastructure Event;Entrada directa;En Sitio;Conectividad - Acceso;4,000000;0,000000;No;No;2025;10;3;17;0;0,496967
0;26,073056;2-Significativo/Amplio;Alta;Conectividad;Networking;Servicio caído;Conectividad Nacional;Infrastructure Event;Monitoreo Proactivo;Remoto;Conectividad - Acceso;1,000000;0,000000;No;No;2025;10;3;20;0;0,451424
0;29,743889;2-Significativo/Amplio;Alta;Conectividad;Networking;Servicio caído;Conectividad Nacional;Infrastructure Event;Monitoreo Proactivo;Remoto;Conectividad - Acceso;1,000000;16,000000;No;No;2025;10;4;1;0;0,412345
0;29,558611;2-Significativo/Amplio;Alta;Conectividad;Networking;Servicio caído;Conectividad Nacional;Infrastructure Event;Monitoreo Proactivo;Remoto;Conectividad - Acceso;1,000000;16,000000;No;No;2025;10;4;1;0;0,412345
0;28,122500;2-Significativo/Amplio;Alta;Conectividad;Networking;Servicio caído;Conectividad Nacional;Infrastructure Event;Monitoreo Proactivo;Remoto;Conectividad - Acceso;1,000000;16,000000;No;No;2025;10;4;2;0;0,416082
0;28,122500;2-Significativo/Amplio;Alta;Conectividad;Networking;Servicio caído;Conectividad Nacional;Infrastructure Event;Monitoreo Proactivo;Remoto;Conectividad - Acceso;1,000000;16,000000;No;No;2025;10;4;2;0;0,416082
0;27,570000;2-Significativo/Amplio;Alta;Conectividad;Networking;Servicio caído;Conectividad Nacional;Infrastructure Event;Monitoreo Proactivo;Remoto;Conectividad - Acceso;1,000000;6,000000;No;No;2025;10;4;3;0;0,419828
1;176,584167;2-Significativo/Amplio;Alta;Conectividad;Networking;Servicio caído;Conectividad Nacional;Infrastructure Event;Monitoreo Proactivo;Remoto;Conectividad - Acceso;2,000000;1948,000000;No;No;2025;10;4;4;0;0,423584
1;176,534167;2-Significativo/Amplio;Alta;Conectividad;Networking;Servicio caído;Conectividad Nacional;Infrastructure Event;Monitoreo Proactivo;Remoto;Conectividad - Acceso;2,000000;1948,000000;No;No;2025;10;4;4;0;0,423584
1;96,710833;4-Menor/Localizado;Baja;Conectividad;Networking;Apertura Simple;Conectividad Nacional;Restauración de servicio a usuario;Monitoreo Proactivo;Remoto;Conectividad - Acceso;0,000000;2298,000000;No;No;2025;10;4;8;0;0,266107
0;26,271111;4-Menor/Localizado;Baja;SD-WAN;Fortinet;Falla enlaces;Sd-Wan;Infrastructure Event;Monitoreo Proactivo;Remoto;Conectividad - Acceso;1,000000;0,000000;No;No;2025;10;4;8;0;0,311234
0;26,221111;4-Menor/Localizado;Baja;SD-WAN;Fortinet;Falla enlaces;Sd-Wan;Infrastructure Event;Monitoreo Proactivo;Remoto;Conectividad - Acceso;1,000000;0,000000;No;No;2025;10;4;8;0;0,311234
1;146,063333;2-Significativo/Amplio;Alta;Conectividad;Networking;Servicio caído;Conectividad Nacional;Infrastructure Event;Monitoreo Proactivo;Remoto;Conectividad - Acceso;1,000000;15,000000;No;No;2025;10;4;10;0;0,446288
