sla_incumplido;Tiempo_Resolucion_horas;Impacto;Prioridad;Nivel_1_Categorizacion;Nivel_2_Categorizacion;Nivel_3_Categorizacion;Servicio;Tipo_Incidencia;Fuente_Reportada;Tipo_Solucion;Categoria_Resolucion;Total_Transferencias;Indisponibilidad_Minutos;Reapertura;Incidente_Mayor;anio;mes;dia_semana;hora_creacion;es_fin_de_semana;prob_incumplir_SLA_temprano
1;373,509722;2-Significativo/Amplio;Alta;IoT y Analítica;Movilidad Avanzada;Sin servicio;Iot - Conectividad Gestionada;Infrastructure Event;Monitoreo Proactivo;Remoto;Conectividad - Acceso;1;210,000000;No;;2025;8;1;7;0;0,604720
1;371,142778;2-Significativo/Amplio;Alta;Conectividad;Networking;Servicio caído;Conectividad Nacional;Infrastructure Event;Monitoreo Proactivo;Remoto;Conectividad - Acceso;1;0,000000;No;;2025;8;1;7;0;0,642811
1;371,137500;2-Significativo/Amplio;Alta;Conectividad;Networking;Servicio caído;Conectividad Nacional;Infrastructure Event;Monitoreo Proactivo;Remoto;Conectividad - Acceso;1;0,000000;No;;2025;8;1;7;0;0,642811
1;393,131667;2-Significativo/Amplio;Alta;Conectividad;Networking;Servicio caído;Conectividad Nacional;Infrastructure Event;Monitoreo Proactivo;Remoto;Conectividad - Acceso;1;595,000000;No;;2025;8;1;7;0;0,642811
1;269,754722;2-Significativo/Amplio;Alta;Conectividad;Networking;Servicio caído;Conectividad Nacional;Infrastructure Event;Monitoreo Proactivo;Remoto;Conectividad - Acceso;1;;No;;2025;8;1;9;0;0,671611
1;387,588611;2-Significativo/Amplio;Alta;Conectividad;Networking;Servicio caído;Conectividad Nacional;Infrastructure Event;Monitoreo Proactivo;Remoto;Conectividad - Acceso;1;240,000000;No;;2025;8;1;11;0;0,699175
1;388,732500;2-Significativo/Amplio;Alta;Conectividad;Networking;Servicio caído;Conectividad Nacional;Infrastructure Event;Monitoreo Proactivo;Remoto;Conectividad - Acceso;1;473,000000;No;;2025;8;1;12;0;0,712452
1;388,715833;2-Significativo/Amplio;Alta;Conectividad;Networking;Servicio caído;Conectividad Nacional;Infrastructure Event;Monitoreo Proactivo;Remoto;Conectividad - Acceso;1;473,000000;No;;2025;8;1;12;0;0,712452
1;406,565278;2-Significativo/Amplio;Alta;Conectividad;Networking;Servicio caído;Conectividad Nacional;Infrastructure Event;Monitoreo Proactivo;Remoto;Conectividad - Acceso;1;42,000000;No;;2025;8;1;12;0;0,712452
1;380,268889;2-Significativo/Amplio;Alta;IoT y Analítica;Movilidad Avanzada;Sin servicio;Iot - Conectividad Gestionada;Infrastructure Event;Monitoreo Proactivo;Remoto;Movilidad;1;23,000000;No;;2025;8;1;12;0;0,678068
1;386,179722;2-Significativo/Amplio;Alta;Conectividad;Networking;Servicio caído;Conectividad Nacional;Infrastructure Event;Monitoreo Proactivo;Remoto;Conectividad - Acceso;1;1297,000000;No;;2025;8;1;12;0;0,712452
1;386,163056;2-Significativo/Amplio;Alta;Conectividad;Networking;Servicio caído;Conectividad Nacional;Infrastructure Event;Monitoreo Proactivo;Remoto;Conectividad - Acceso;1;1297,000000;No;;2025;8;1;12;0;0,712452
