sla_incumplido,Tiempo_Resolucion_horas,Impacto,Prioridad,Nivel_1_Categorizacion,Nivel_2_Categorizacion,Nivel_3_Categorizacion,Servicio,Tipo_Incidencia,Fuente_Reportada,Tipo_Solucion,Categoria_Resolucion,Total_Transferencias,Indisponibilidad_Minutos,Reapertura,Incidente_Mayor,anio,mes,dia_semana,hora_creacion,es_fin_de_semana,prob_incumplir_SLA
1,382.3513888888889,2-Significativo/Amplio,Alta,Conectividad,Networking,Servicio caído,Conectividad Nacional,Infrastructure Event,Monitoreo Proactivo,Remoto,Conectividad - Acceso,1,49.0,No,No,2025,8,2,12,0,1.0
1,168.35055555555556,2-Significativo/Amplio,Alta,Conectividad,Networking,Servicio caído,Conectividad Nacional,Infrastructure Event,Monitoreo Proactivo,Remoto,Conectividad - Acceso,1,49.0,No,No,2025,8,2,12,0,1.0
1,168.35055555555556,2-Significativo/Amplio,Alta,Conectividad,Networking,Servicio caído,Conectividad Nacional,Infrastructure Event,Monitoreo Proactivo,Remoto,Conectividad - Acceso,1,49.0,No,No,2025,8,2,12,0,1.0
1,168.3502777777778,2-Significativo/Amplio,Alta,Conectividad,Networking,Servicio caído,Conectividad Nacional,Infrastructure Event,Monitoreo Proactivo,Remoto,Conectividad - Acceso,1,49.0,No,No,2025,8,2,12,0,1.0
1,168.34944444444446,2-Significativo/Amplio,Alta,Conectividad,Networking,Servicio caído,Conectividad Nacional,Infrastructure Event,Monitoreo Proactivo,Remoto,Conectividad - Acceso,1,49.0,No,No,2025,8,2,12,0,1.0
1,168.34944444444446,2-Significativo/Amplio,Alta,Conectividad,Networking,Servicio caído,Conectividad Nacional,Infrastructure Event,Monitoreo Proactivo,Remoto,Conectividad - Acceso,1,49.0,No,No,2025,8,2,12,0,1.0
1,168.34944444444446,2-Significativo/Amplio,Alta,Conectividad,Networking,Servicio caído,Conectividad Nacional,Infrastructure Event,Monitoreo Proactivo,Remoto,Conectividad - Acceso,1,49.0,No,No,2025,8,2,12,0,1.0
1,168.34916666666666,2-Significativo/Amplio,Alta,Conectividad,Networking,Servicio caído,Conectividad Nacional,Infrastructure Event,Monitoreo Proactivo,Remoto,Conectividad - Acceso,1,49.0,No,No,2025,8,2,12,0,1.0
1,168.34833333333333,2-Significativo/Amplio,Alta,Conectividad,Networking,Servicio caído,Conectividad Nacional,Infrastructure Event,Monitoreo Proactivo,Remoto,Conectividad - Acceso,1,49.0,No,No,2025,8,2,12,0,1.0
1,168.34833333333333,2-Significativo/Amplio,Alta,Conectividad,Networking,Servicio caído,Conectividad Nacional,Infrastructure Event,Monitoreo Proactivo,Remoto,Conectividad - Acceso,1,49.0,No,No,2025,8,2,12,0,1.0
1,168.34805555555556,2-Significativo/Amplio,Alta,Conectividad,Networking,Servicio caído,Conectividad Nacional,Infrastructure Event,Monitoreo Proactivo,Remoto,Conectividad - Acceso,1,49.0,No,No,2025,8,2,12,0,1.0
1,168.34722222222223,2-Significativo/Amplio,Alta,Conectividad,Networking,Servicio caído,Conectividad Nacional,Infrastructure Event,Monitoreo Proactivo,Remoto,Conectividad - Acceso,1,49.0,No,No,2025,8,2,12,0,1.0
1,168.34694444444443,2-Significativo/Amplio,Alta,Conectividad,Networking,Servicio caído,Conectividad Nacional,Infrastructure Event,Monitoreo Proactivo,Remoto,Conectividad - Acceso,1,49.0,No,No,2025,8,2,12,0,1.0
1,168.34694444444443,2-Significativo/Amplio,Alta,Conectividad,Networking,Servicio caído,Conectividad Nacional,Infrastructure Event,Monitoreo Proactivo,Remoto,Conectividad - Acceso,1,49.0,No,No,2025,8,2,12,0,1.0
1,168.3461111111111,2-Significativo/Amplio,Alta,Conectividad,Networking,Servicio caído,Conectividad Nacional,Infrastructure Event,Monitoreo Proactivo,Remoto,Conectividad - Acceso,1,49.0,No,No,2025,8,2,12,0,1.0
1,168.3461111111111,2-Significativo/Amplio,Alta,Conectividad,Networking,Servicio caído,Conectividad Nacional,Infrastructure Event,Monitoreo Proactivo,Remoto,Conectividad - Acceso,1,49.0,No,No,2025,8,2,12,0,1.0
1,168.34444444444443,2-Significativo/Amplio,Alta,Conectividad,Networking,Servicio caído,Conectividad Nacional,Infrastructure Event,Monitoreo Proactivo,Remoto,Conectividad - Acceso,1,49.0,No,Sí,2025,8,2,12,0,1.0
1,168.34444444444443,2-Significativo/Amplio,Alta,Conectividad,Networking,Servicio caído,Conectividad Nacional,Infrastructure Event,Monitoreo Proactivo,Remoto,Conectividad - Acceso,1,49.0,No,No,2025,8,2,12,0,1.0
1,168.3425,2-Significativo/Amplio,Alta,Conectividad,Networking,Servicio caído,Conectividad Nacional,Infrastructure Event,Monitoreo Proactivo,Remoto,Conectividad - Acceso,1,49.0,No,No,2025,8,2,12,0,1.0
1,168.3425,2-Significativo/Amplio,Alta,Conectividad,Networking,Servicio caído,Conectividad Nacional,Infrastructure Event,Monitoreo Proactivo,Remoto,Conectividad - Acceso,1,49.0,No,No,2025,8,2,12,0,1.0
1,168.34222222222223,2-Significativo/Amplio,Alta,Conectividad,Networking,Servicio caído,Conectividad Nacional,Infrastructure Event,Monitoreo Proactivo,Remoto,Conectividad - Acceso,1,49.0,No,No,2025,8,2,12,0,1.0
1,168.34222222222223,2-Significativo/Amplio,Alta,Conectividad,Networking,Servicio caído,Conectividad Nacional,Infrastructure Event,Monitoreo Proactivo,Remoto,Conectividad - Acceso,1,49.0,No,No,2025,8,2,12,0,1.0
1,168.3413888888889,2-Significativo/Amplio,Alta,Conectividad,Networking,Servicio caído,Conectividad Nacional,Infrastructure Event,Monitoreo Proactivo,Remoto,Conectividad - Acceso,1,49.0,No,No,2025,8,2,12,0,1.0
1,168.3413888888889,2-Significativo/Amplio,Alta,Conectividad,Networking,Servicio caído,Conectividad Nacional,Infrastructure Event,Monitoreo Proactivo,Remoto,Conectividad - Acceso,1,49.0,No,No,2025,8,2,12,0,1.0
1,168.3411111111111,2-Significativo/Amplio,Alta,Conectividad,Networking,Servicio caído,Conectividad Nacional,Infrastructure Event,Monitoreo Proactivo,Remoto,Conectividad - Acceso,1,49.0,No,No,2025,8,2,12,0,1.0
1,168.33444444444444,2-Significativo/Amplio,Alta,Conectividad,Networking,Servicio caído,Conectividad Nacional,Infrastructure Event,Monitoreo Proactivo,Remoto,Conectividad - Acceso,1,49.0,No,No,2025,8,2,12,0,1.0
1,168.3336111111111,2-Significativo/Amplio,Alta,Conectividad,Networking,Servicio caído,Conectividad Nacional,Infrastructure Event,Monitoreo Proactivo,Remoto,Conectividad - Acceso,1,49.0,No,No,2025,8,2,12,0,1.0
1,168.33333333333334,2-Significativo/Amplio,Alta,Conectividad,Networking,Servicio caído,Conectividad Nacional,Infrastructure Event,Monitoreo Proactivo,Remoto,Conectividad - Acceso,1,49.0,No,No,2025,8,2,12,0,1.0
1,168.33305555555555,2-Significativo/Amplio,Alta,Conectividad,Networking,Servicio caído,Conectividad Nacional,Infrastructure Event,Monitoreo Proactivo,Remoto,Conectividad - Acceso,1,49.0,No,No,2025,8,2,12,0,1.0
1,168.33277777777778,2-Significativo/Amplio,Alta,Conectividad,Networking,Servicio caído,Conectividad Nacional,Infrastructure Event,Monitoreo Proactivo,Remoto,Conectividad - Acceso,1,49.0,No,No,2025,8,2,12,0,1.0
1,168.3325,2-Significativo/Amplio,Alta,Conectividad,Networking,Servicio caído,Conectividad Nacional,Infrastructure Event,Monitoreo Proactivo,Remoto,Conectividad - Acceso,1,49.0,No,No,2025,8,2,12,0,1.0
1,168.3322222222222,2-Significativo/Amplio,Alta,Conectividad,Networking,Servicio caído,Conectividad Nacional,Infrastructure Event,Monitoreo Proactivo,Remoto,Conectividad - Acceso,1,49.0,No,No,2025,8,2,12,0,1.0
